dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1751-12-01,,,Århus,Denmark,57.05N,10.33E
1752-01-01,-0.7809999999999999,2.622,Århus,Denmark,57.05N,10.33E
1752-02-01,,,Århus,Denmark,57.05N,10.33E
1752-03-01,3.05,1.695,Århus,Denmark,57.05N,10.33E
1752-04-01,5.489,2.51,Århus,Denmark,57.05N,10.33E
1752-05-01,,,Århus,Denmark,57.05N,10.33E
1752-06-01,,,Århus,Denmark,57.05N,10.33E
1752-07-01,,,Århus,Denmark,57.05N,10.33E
1752-08-01,,,Århus,Denmark,57.05N,10.33E
1752-09-01,,,Århus,Denmark,57.05N,10.33E
1752-10-01,8.908,1.709,Århus,Denmark,57.05N,10.33E
1752-11-01,5.6370000000000005,0.9209999999999999,Århus,Denmark,57.05N,10.33E
1752-12-01,2.242,1.175,Århus,Denmark,57.05N,10.33E
1753-01-01,-1.259,8.151,Århus,Denmark,57.05N,10.33E
1753-02-01,-0.285,3.715,Århus,Denmark,57.05N,10.33E
1753-03-01,4.21,3.695,Århus,Denmark,57.05N,10.33E
1753-04-01,6.765,6.727,Århus,Denmark,57.05N,10.33E
1844-03-01,23.724,2.1719999999999997,Kingston,Jamaica,18.48N,76.06W
1844-04-01,23.665,2.048,Kingston,Jamaica,18.48N,76.06W
1844-05-01,25.674,1.186,Kingston,Jamaica,18.48N,76.06W
1844-06-01,26.197000000000006,1.838,Kingston,Jamaica,18.48N,76.06W
1844-07-01,27.684,1.5430000000000001,Kingston,Jamaica,18.48N,76.06W
1844-08-01,27.299,2.129,Kingston,Jamaica,18.48N,76.06W
1844-09-01,26.601000000000006,1.409,Kingston,Jamaica,18.48N,76.06W
1844-10-01,26.829,1.222,Kingston,Jamaica,18.48N,76.06W
1844-11-01,26.825,1.473,Kingston,Jamaica,18.48N,76.06W
1844-12-01,24.241999999999997,1.959,Kingston,Jamaica,18.48N,76.06W
1845-01-01,25.497,2.097,Kingston,Jamaica,18.48N,76.06W
1845-02-01,23.180999999999997,2.6639999999999997,Kingston,Jamaica,18.48N,76.06W
1845-03-01,24.266,1.319,Kingston,Jamaica,18.48N,76.06W
1845-04-01,25.131,1.5519999999999998,Kingston,Jamaica,18.48N,76.06W
1845-05-01,25.313000000000002,1.5619999999999998,Kingston,Jamaica,18.48N,76.06W
1845-06-01,26.808000000000003,1.859,Kingston,Jamaica,18.48N,76.06W
1845-07-01,27.795,1.489,Kingston,Jamaica,18.48N,76.06W
1845-08-01,27.366999999999997,1.73,Kingston,Jamaica,18.48N,76.06W
1845-09-01,26.759,1.465,Kingston,Jamaica,18.48N,76.06W
1845-10-01,25.978,1.175,Kingston,Jamaica,18.48N,76.06W
1845-11-01,25.816,1.81,Kingston,Jamaica,18.48N,76.06W
1845-12-01,24.340000000000003,1.8980000000000001,Kingston,Jamaica,18.48N,76.06W
1846-01-01,25.944000000000003,1.6880000000000002,Kingston,Jamaica,18.48N,76.06W
1846-02-01,25.124,1.442,Kingston,Jamaica,18.48N,76.06W
1846-03-01,25.469,1.649,Kingston,Jamaica,18.48N,76.06W
1846-04-01,23.956,1.3559999999999999,Kingston,Jamaica,18.48N,76.06W
1846-05-01,25.83,1.8530000000000002,Kingston,Jamaica,18.48N,76.06W
1846-06-01,27.683000000000003,1.768,Kingston,Jamaica,18.48N,76.06W
1846-07-01,28.296,1.854,Kingston,Jamaica,18.48N,76.06W
1846-08-01,28.226,1.278,Kingston,Jamaica,18.48N,76.06W
1846-09-01,27.365,1.396,Kingston,Jamaica,18.48N,76.06W
1846-10-01,26.675,1.188,Kingston,Jamaica,18.48N,76.06W
1846-11-01,26.58,2.095,Kingston,Jamaica,18.48N,76.06W
1846-12-01,26.799000000000003,1.778,Kingston,Jamaica,18.48N,76.06W
1847-01-01,26.865,4.542,Kingston,Jamaica,18.48N,76.06W
1847-02-01,25.096,1.794,Kingston,Jamaica,18.48N,76.06W
1847-03-01,23.659000000000002,1.954,Kingston,Jamaica,18.48N,76.06W
1847-04-01,24.828000000000003,1.403,Kingston,Jamaica,18.48N,76.06W
1847-05-01,24.894000000000002,1.219,Kingston,Jamaica,18.48N,76.06W
1847-06-01,27.372,1.669,Kingston,Jamaica,18.48N,76.06W
1847-07-01,27.84,1.3769999999999998,Kingston,Jamaica,18.48N,76.06W
